match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,actual,score,played
1,A,Mexico,South Africa,74.5,17.2,8.3,,,,H,2-0,1
2,A,South Korea,Czechia,43.4,28.1,28.5,,,,H,2-1,1
3,B,Canada,Bosnia & Herzegovina,57.8,24.5,17.7,,,,D,1-1,1
4,D,United States,Paraguay,58.0,24.4,17.5,,,,H,4-1,1
5,B,Qatar,Switzerland,7.5,16.1,76.4,,,,D,1-1,1
6,C,Brazil,Morocco,46.1,27.6,26.2,,,,D,1-1,1
7,C,Haiti,Scotland,15.6,23.3,61.0,,,,A,0-1,1
8,D,Australia,Türkiye,35.1,28.6,36.2,,,,H,2-0,1
9,E,Germany,Curaçao,85.9,10.4,3.7,,,,H,7-1,1
10,F,Netherlands,Japan,43.0,28.1,28.9,,,,D,2-2,1
11,E,Côte d'Ivoire,Ecuador,21.6,26.3,52.2,,,,H,1-0,1
12,F,Sweden,Tunisia,49.8,26.9,23.3,,,,H,5-1,1
13,H,Spain,Cabo Verde,93.2,5.4,1.4,89.2,7.7,3.1,D,0-0,1
14,G,Belgium,Egypt,47.7,27.3,25.0,7.8,88.9,3.3,D,1-1,1
15,H,Saudi Arabia,Uruguay,15.1,23.0,61.8,11.6,21.8,66.6,D,1-1,1
16,G,Iran,New Zealand,61.8,23.0,15.1,53.7,27.3,19.0,D,2-2,1
17,I,France,Senegal,62.6,22.7,14.6,65.1,21.7,13.2,H,3-1,1
18,I,Iraq,Norway,9.2,18.1,72.8,6.3,13.3,80.4,A,1-4,1
19,J,Argentina,Algeria,73.7,17.6,8.7,69.0,20.5,10.5,H,3-0,1
20,J,Austria,Jordan,56.0,25.1,18.9,71.4,17.8,10.7,H,3-1,1
21,K,Portugal,DR Congo,60.4,23.6,16.0,74.5,17.3,8.2,D,1-1,1
22,L,England,Croatia,55.1,25.4,19.5,,,,H,4-2,1
23,L,Ghana,Panama,46.0,27.7,26.3,40.5,30.2,29.3,H,1-0,1
24,K,Uzbekistan,Colombia,7.9,16.7,75.4,10.3,20.1,69.6,A,1-3,1
25,A,Czechia,South Africa,53.3,26.0,20.8,51.1,26.9,22.0,D,1-1,1
26,B,Switzerland,Bosnia & Herzegovina,68.8,20.0,11.2,61.1,23.6,15.3,H,4-1,1
27,B,Canada,Qatar,66.3,21.2,12.5,74.6,16.8,8.6,H,6-0,1
28,A,Mexico,South Korea,49.6,26.9,23.5,47.0,29.0,24.0,H,1-0,1
29,D,United States,Australia,56.4,25.0,18.6,,,,H,2-0,1
30,C,Scotland,Morocco,20.7,25.9,53.4,16.4,26.4,57.2,A,0-1,1
31,C,Brazil,Haiti,85.2,10.9,3.9,86.6,8.9,4.5,H,3-0,1
32,D,Türkiye,Paraguay,37.7,28.6,33.7,46.5,28.3,25.2,A,0-1,1
33,F,Netherlands,Sweden,58.2,24.4,17.4,55.8,23.7,20.5,,,0
34,E,Germany,Côte d'Ivoire,56.0,25.1,18.9,62.7,20.8,16.5,,,0
35,E,Ecuador,Curaçao,83.4,12.0,4.6,85.5,10.2,4.3,,,0
36,F,Tunisia,Japan,13.3,21.8,64.9,15.4,24.2,60.4,,,0
37,H,Spain,Saudi Arabia,87.1,9.7,3.3,87.3,9.2,3.6,,,0
38,G,Belgium,Iran,42.0,28.3,29.7,66.5,20.7,12.7,,,0
39,H,Uruguay,Cabo Verde,73.6,17.6,8.8,65.9,22.4,11.7,,,0
40,G,New Zealand,Egypt,18.8,25.1,56.1,16.9,23.4,59.7,,,0
41,J,Argentina,Austria,69.1,19.9,11.0,60.3,24.1,15.6,,,0
42,I,France,Iraq,85.5,10.7,3.8,88.1,8.7,3.2,,,0
43,I,Norway,Senegal,45.8,27.7,26.5,41.6,27.5,30.9,,,0
44,J,Jordan,Algeria,22.5,26.6,50.8,16.2,23.2,60.6,,,0
45,K,Portugal,Uzbekistan,70.2,19.3,10.4,79.6,14.0,6.4,,,0
46,L,England,Ghana,79.6,14.3,6.1,78.6,14.7,6.8,,,0
47,L,Panama,Croatia,9.4,18.3,72.2,14.2,23.8,61.9,,,0
48,K,Colombia,DR Congo,66.2,21.2,12.6,63.7,22.9,13.4,,,0
49,B,Switzerland,Canada,46.8,27.5,25.7,39.1,31.0,29.9,,,0
50,B,Bosnia & Herzegovina,Qatar,44.1,28.0,28.0,66.3,19.8,13.9,,,0
51,C,Scotland,Brazil,13.8,22.1,64.1,12.4,18.9,68.8,,,0
52,C,Morocco,Haiti,77.4,15.6,7.0,79.4,14.2,6.5,,,0
53,A,Czechia,Mexico,17.7,24.6,57.7,27.1,25.8,47.1,,,0
54,A,South Africa,South Korea,15.5,23.3,61.3,16.5,24.3,59.2,,,0
55,E,Ecuador,Germany,32.2,28.5,39.3,19.2,24.7,56.1,,,0
56,E,Curaçao,Côte d'Ivoire,10.6,19.5,70.0,4.9,10.8,84.3,,,0
57,F,Japan,Sweden,50.6,26.7,22.8,43.6,27.9,28.5,,,0
58,F,Tunisia,Netherlands,9.6,18.5,71.9,9.7,17.5,72.8,,,0
59,D,Türkiye,United States,19.0,25.2,55.8,30.7,24.4,44.9,,,0
60,D,Paraguay,Australia,34.2,28.6,37.2,35.2,39.5,25.3,,,0
61,I,Norway,France,21.5,26.2,52.3,22.3,25.2,52.5,,,0
62,I,Senegal,Iraq,63.1,22.5,14.4,72.8,17.9,9.3,,,0
63,H,Cabo Verde,Saudi Arabia,24.7,27.3,48.0,34.4,26.4,39.2,,,0
64,H,Uruguay,Spain,12.5,21.2,66.3,15.9,22.7,61.4,,,0
65,G,Egypt,Iran,30.5,28.4,41.1,45.3,30.1,24.6,,,0
66,G,New Zealand,Belgium,11.5,20.3,68.1,7.8,15.3,76.9,,,0
67,L,Panama,England,3.3,9.8,86.9,8.9,15.0,76.1,,,0
68,L,Croatia,Ghana,62.3,22.9,14.9,58.6,24.7,16.7,,,0
69,K,Colombia,Portugal,41.4,28.3,30.3,26.7,27.5,45.8,,,0
70,K,DR Congo,Uzbekistan,45.7,27.7,26.6,44.8,26.5,28.7,,,0
71,J,Algeria,Austria,31.0,28.4,40.6,31.0,30.9,38.2,,,0
72,J,Jordan,Argentina,3.9,10.8,85.3,6.9,14.0,79.1,,,0
